"year","city","lat","lng","population"
2015,"Gakona",62.3019444,-145.3019444,205
2015,"Galena",64.7333333,-156.9275,554
2015,"Gambell",63.7797222,-171.7411111,718
2015,"Game Creek",58.0566667,-135.5077778,36
2015,"Gateway",61.5727778,-149.2408333,5610
2015,"Glennallen",62.1091667,-145.5463889,366
2015,"Golovin",64.5433333,-163.0291667,132
2015,"Goodnews Bay",59.1188889,-161.5875,230
2015,"Grayling",62.9036111,-160.0647222,171
2015,"Gulkana",62.2713889,-145.3822222,115
2015,"Gustavus",58.4133333,-135.7369444,496
2015,"Haines",59.228589,-135.444114,1955
2015,"Halibut Cove",59.595,-151.225,23
2015,"Happy Valley",59.9472222,-151.7322222,607
2015,"Healy",63.8569444,-148.9661111,1120
2015,"Healy Lake",63.9872308,-144.6998325,0
2015,"Hobart Bay",57.4658333,-133.3533333,0
2015,"Hollis",55.5566667,-132.6363889,124
2015,"Holy Cross",62.1994444,-159.7713889,214
2015,"Homer",59.6425,-151.5483333,5324
2015,"Hoonah",58.11,-135.4436111,821
2015,"Hooper Bay",61.5311111,-166.0966667,1140
2015,"Hope",60.9202778,-149.6402778,50
2015,"Houston",61.6302778,-149.8180556,1977
2015,"Hughes",66.0488889,-154.2555556,62
2015,"Huslia",65.6986111,-156.3997222,420
2015,"Hydaburg",55.2080556,-132.8266667,277
2015,"Hyder",55.9169444,-130.0247222,13
2015,"Igiugig",59.3277778,-155.8947222,49
2015,"Iliamna",59.7567965,-154.9110837,78
2015,"Ivanof Bay",55.9,-159.4833333,0
2015,"Juneau",58.3019444,-134.4197222,32531
2015,"Kake",56.9758333,-133.9472222,628
2015,"Kaktovik",70.1319444,-143.6238889,155
2015,"Kalifornsky",60.4183333,-151.29,7965
2015,"Kaltag",64.3272222,-158.7219444,192
2015,"Karluk",57.5719444,-154.4555556,44
2015,"Kasaan",55.5388889,-132.4008333,71
2015,"Kasigluk",60.8955556,-162.5180556,599
2015,"Kasilof",60.3375,-151.2744444,388
2015,"Kenai",60.5544444,-151.2583333,7463
2015,"Kenny Lake",61.7191667,-144.9483333,128
2015,"Ketchikan",55.3422222,-131.6461111,8197
2015,"Kiana",66.975,-160.4227778,380
2015,"King Cove",55.0616667,-162.3102778,1074
2015,"King Salmon",58.6883333,-156.6613889,340
2015,"Kipnuk",59.9388889,-164.0413889,686
2015,"Kivalina",67.7269444,-164.5333333,576
2015,"Klawock",55.5522222,-133.0958333,792
2015,"Klukwan",59.4038889,-135.8844444,66
2015,"Kobuk",66.9072222,-156.8811111,159
2015,"Kodiak",57.79,-152.4072222,6293
2015,"Kokhanok",59.4419444,-154.7558333,145
2015,"Koliganek",59.7286111,-157.2844444,129
2015,"Kongiganak",59.9532731,-162.8951327,408
2015,"Kotlik",63.0341667,-163.5533333,643
2015,"Kotzebue",66.8983333,-162.5966667,3283
2015,"Koyuk",64.9319444,-161.1569444,272
2015,"Koyukuk",64.8802778,-157.7008333,80
2015,"Kupreanof",56.8144444,-132.9805556,40
2015,"Kwethluk",60.8122222,-161.4358333,824
2015,"Kwigillingok",59.8644444,-163.1341667,331
2015,"Lake Louise",62.2813889,-146.5511111,45
2015,"Lake Minchumina",63.8827778,-152.3122222,21
2015,"Larsen Bay",57.54,-153.9786111,61
2015,"Lazy Mountain",61.6261111,-148.9455556,1637
2015,"Levelock",59.1141667,-156.8588889,114
2015,"Lime Village",61.3563889,-155.4355556,7
2015,"Livengood",65.5244444,-148.5447222,10
2015,"Loring",55.6025,-131.6361111,0
2015,"Lowell Point",60.0725,-149.4411111,141
2015,"Lower Kalskag",61.5122222,-160.3580556,317
2015,"Lutak",59.3411111,-135.5655556,13
2015,"Manley Hot Springs",65.0011111,-150.6338889,84
2015,"Manokotak",58.9813889,-159.0583333,691
2015,"Marshall",61.8777778,-162.0811111,350
2015,"McCarthy",61.4333333,-142.9216667,107
2015,"McGrath",62.9563889,-155.5958333,346
2015,"Meadow Lakes",61.6247222,-149.6011111,7424
2015,"Mekoryuk",60.3880556,-166.185,174
2015,"Mendeltna",62.0661111,-146.45,22
2015,"Mentasta Lake",62.9211111,-143.7691667,157
2015,"Metlakatla",55.1291667,-131.5722222,1661
2015,"Minto",65.150411,-149.349708,257
2015,"Moose Creek",64.71,-147.1436111,728
2015,"Moose Pass",60.4875,-149.3688889,428
2015,"Mosquito Lake",59.5291667,-136.0911111,126
2015,"Mountain Village",62.0855556,-163.7294444,749
2015,"Mud Bay",55.4208333,-131.7680556,167
2015,"Nabesna",62.3719444,-143.0086111,0
2015,"Naknek",58.7283333,-157.0138889,567
2015,"Nanwalek",59.3563889,-151.9208333,238
2015,"Napakiak",60.6966667,-161.9519444,352
2015,"Napaskiak",60.7080556,-161.7661111,408
2015,"Naukati Bay",55.8736111,-133.1847222,32
2015,"Nelchina",61.9919444,-146.7686111,170
2015,"Nelson Lagoon",56.0006152,-161.206974,42
2015,"Nenana",64.5638889,-149.0930556,406
2015,"New Allakaket",66.54268,-152.64769,67
2015,"Newhalen",59.72,-154.8972222,159
2015,"New Stuyahok",59.4527778,-157.3119444,609
2015,"Newtok",60.9427778,-164.6294444,388
2015,"Nightmute",60.4794444,-164.7238889,259
2015,"Nikiski",60.6902778,-151.2888889,4549
2015,"Nikolaevsk",59.8119444,-151.6105556,234
2015,"Nikolai",63.0133333,-154.375,113
2015,"Nikolski",52.9380556,-168.8677778,37
2015,"Ninilchik",60.0513889,-151.6688889,728
2015,"Noatak",67.5711111,-162.9652778,443
2015,"Nome",64.5011111,-165.4063889,3773
2015,"Nondalton",59.9736111,-154.8458333,182
2015,"Noorvik",66.8383333,-161.0327778,608
2015,"North Pole",64.7511111,-147.3494444,2265
2015,"Northway",62.9616667,-141.9372222,131
2015,"Northway Junction",63.0022222,-141.7772222,64
2015,"Northway Village",62.9822222,-141.9516667,92
2015,"Nuiqsut",70.2175,-150.9763889,345
2015,"Nulato",64.7194444,-158.1030556,285
2015,"Nunam Iqua",62.5336111,-164.8411111,129
2015,"Nunapitchuk",60.8969444,-162.4594444,554
2015,"Old Harbor",57.2027778,-153.3038889,249
2015,"Oscarville",60.7227778,-161.77,22
2015,"Ouzinkie",57.9236111,-152.5022222,230
2015,"Palmer",61.5997222,-149.1127778,6449
2015,"Paxson",63.0897222,-145.6130556,38
2015,"Pedro Bay",59.7872222,-154.1061111,12
2015,"Pelican",57.9608333,-136.2275,79
2015,"Perryville",55.9139846,-159.1632767,98
2015,"Petersburg",56.8112667,-132.9512425,3024
2015,"Petersville",62.4963889,-150.7655556,0
2015,"Pilot Point",57.5641667,-157.5791667,53
2015,"Pilot Station",61.9388889,-162.875,582
2015,"Pitkas Point",62.0327778,-163.2877778,136
2015,"Platinum",59.0130556,-161.8163889,42
2015,"Pleasant Valley",64.8813889,-146.8686111,168
2015,"Point Baker",56.3527778,-133.6211111,41
2015,"Point Hope",68.3486111,-166.7347222,562
2015,"Point Lay",69.743857,-163.008442,285
2015,"Point MacKenzie",61.3597222,-149.9783333,466
2015,"Portage Creek",58.9061111,-157.7175,0
2015,"Port Alexander",56.2497222,-134.6444444,31
2015,"Port Alsworth",60.2025,-154.3127778,147
2015,"Port Clarence",65.2622222,-166.8458333,40
2015,"Port Graham",59.3513889,-151.8297222,206
2015,"Port Heiden",56.9325614,-158.6249699,81
2015,"Port Lions",57.8675,-152.8822222,231
2015,"Port Protection",56.3172222,-133.5980556,82
2015,"Prudhoe Bay",70.2552778,-148.3372222,2724
2015,"Quinhagak",59.7488889,-161.9158333,661
2015,"Rampart",65.505,-150.17,7
2015,"Red Devil",61.7611111,-157.3125,22
2015,"Red Dog Mine",68.0755556,-162.8561111,81
2015,"Ridgeway",60.5319444,-151.0852778,2195
2015,"Ruby",64.7394444,-155.4869444,202
2015,"Russian Mission",61.785,-161.3202778,410
2015,"Salamatof",60.615375,-151.3194369,1110
2015,"Sand Point",55.3397222,-160.4972222,1188
2015,"Savoonga",63.6941667,-170.4788889,883
2015,"Saxman",55.3183333,-131.5958333,401
2015,"Scammon Bay",61.8427778,-165.5816667,488
2015,"Selawik",66.6038889,-160.0069444,794
2015,"Seldovia",59.4380556,-151.7113889,243
2015,"Seldovia Village",59.4780556,-151.6519444,174
2015,"Seward",60.1041667,-149.4422222,2710
2015,"Shageluk",62.6822222,-159.5619444,43
2015,"Shaktoolik",64.3338889,-161.1538889,223
2015,"Shishmaref",66.2566667,-166.0719444,573
2015,"Shungnak",66.8880556,-157.1363889,342
2015,"Sitka",57.0530556,-135.33,8943
2015,"Skagway",59.4583333,-135.3138889,957
2015,"Skwentna",61.9902778,-151.3977778,42
2015,"Slana",62.7069444,-143.9611111,84
2015,"Sleetmute",61.7025,-157.1697222,96
2015,"Soldotna",60.4877778,-151.0583333,4409
2015,"South Naknek",58.7155556,-156.9980556,63
2015,"Stebbins",63.5222222,-162.2880556,547
2015,"Sterling",60.5372222,-150.7647222,6054
2015,"Stevens Village",66.0063889,-149.0908333,25
2015,"Saint George",56.6,-169.5416667,53
2015,"Saint Marys",62.0530556,-163.1658333,583
2015,"Saint Michael",63.4780556,-162.0391667,396
2015,"Stony River",61.7830556,-156.5880556,40
2015,"Saint Paul",57.1222222,-170.275,576
2015,"Sunrise",60.8897222,-149.4211111,15
2015,"Susitna",61.5436111,-150.5125,0
2015,"Takotna",62.9886111,-156.0641667,49
2015,"Talkeetna",62.3238889,-150.1094444,616
2015,"Tanacross",63.3852778,-143.3463889,127
2015,"Tanaina",61.6269444,-149.4280556,9640
2015,"Tanana",65.1719444,-152.0788889,277
2015,"Tatitlek",60.8647222,-146.6786111,86
2015,"Tazlina",62.0588695,-145.4284212,358
2015,"Teller",65.2636111,-166.3608333,165
2015,"Tenakee Springs",57.7808333,-135.2188889,150
2015,"Tetlin",63.1350512,-142.5238796,121
2015,"Thorne Bay",55.6877778,-132.5222222,566
2015,"Togiak",59.0619444,-160.3763889,787
2015,"Tok",63.3366667,-142.9855556,1331
2015,"Toksook Bay",60.5337752,-165.1036627,549
2015,"Tolsona",62.0838889,-146.0702778,0
2015,"Tonsina",61.6558333,-145.1752778,30
2015,"Trapper Creek",62.3166667,-150.2313889,432
2015,"Tuluksak",61.1025,-160.9616667,436
2015,"Tuntutuliak",60.3430556,-162.6630556,466
2015,"Tununak",60.5855556,-165.2558333,294
2015,"Twin Hills",59.0791667,-160.275,95
2015,"Two Rivers",64.8722222,-147.0383333,238
2015,"Tyonek",61.0680556,-151.1369444,214
2015,"Ugashik",57.5130556,-157.3975,19
2015,"Unalakleet",63.8730556,-160.7880556,710
2015,"Unalaska",53.8736111,-166.5366667,4619
2015,"Valdez",61.1308333,-146.3483333,3979
2015,"Venetie",67.0138889,-146.4186111,177
2015,"Wainwright",70.6369444,-160.0383333,458
2015,"Wales",65.6091667,-168.0875,155
2015,"Wasilla",61.5813889,-149.4394444,8676
2015,"Whale Pass",56.1152778,-133.1208333,16
2015,"White Mountain",64.6813889,-163.4055556,179
2015,"Whitestone Logging Camp",58.0711111,-135.4297222,0
2015,"Whittier",60.7730556,-148.6838889,295
2015,"Willow",61.7472222,-150.0375,2085
2015,"Willow Creek",61.8197222,-145.2122222,8
2015,"Wiseman",67.41,-150.1075,11
2015,"Womens Bay",57.6822222,-152.6686111,852
2015,"Wrangell",56.4708333,-132.3766667,2387
2015,"Yakutat",59.5469444,-139.7272222,597
